species,genus,family,species.relative,genus.relative,avail.country.status,avail.country.status.SRgreaterthan1,rgbif.details_scientificName02,rgbif.details_canonicalName,rgbif.details_authorship,rgbif.details_family,rgbif.details_genus,TPL_family,TPL_genus,TPL_status,TPL_names,TPL_names.withAuthors,TPL_tip.label,rgbif.tip.label,class
Momordica charantia,Momordica,Cucurbitaceae,,,yes,yes,Momordica charantia L.,Momordica charantia,L.,Cucurbitaceae,Momordica,Cucurbitaceae,Momordica,Accepted,Momordica charantia,Momordica charantia L.,Momordica_charantia,Momordica_charantia,Angiosperms
Montanoa grandiflora,Montanoa,Asteraceae,,,yes,yes,Montanoa grandiflora (DC.) Hemsl.,Montanoa grandiflora,(DC.) Hemsl.,Asteraceae,Montanoa,Compositae,Montanoa,Accepted,Montanoa grandiflora,Montanoa grandiflora (DC.) Sch.Bip. ex Hemsl.,Montanoa_grandiflora,Montanoa_grandiflora,Angiosperms
Montanoa hibiscifolia,Montanoa,Asteraceae,,,yes,yes,Montanoa hibiscifolia (Benth.) K.Koch,Montanoa hibiscifolia,(Benth.) K.Koch,Asteraceae,Montanoa,Compositae,Montanoa,Accepted,Montanoa hibiscifolia,Montanoa hibiscifolia Benth.,Montanoa_hibiscifolia,Montanoa_hibiscifolia,Angiosperms
Morella faya,Morella,Myricaceae,,,yes,yes,Morella faya (Aiton) Wilbur,Morella faya,(Aiton) Wilbur,Myricaceae,Morella,Myricaceae,Morella,Accepted,Morella faya,Morella faya (Aiton) Wilbur,Morella_faya,Morella_faya,Angiosperms
Nelumbo nucifera,Nelumbo,Nelumbonaceae,,,yes,yes,Nelumbo nucifera Gaertn.,Nelumbo nucifera,Gaertn.,Nelumbonaceae,Nelumbo,Nelumbonaceae,Nelumbo,Accepted,Nelumbo nucifera,Nelumbo nucifera Gaertn.,Nelumbo_nucifera,Nelumbo_nucifera,Angiosperms
Nymphoides indica,Nymphoides,Menyanthaceae,,,yes,yes,Nymphoides indica (L.) Kuntze,Nymphoides indica,(L.) Kuntze,Menyanthaceae,Nymphoides,Menyanthaceae,Nymphoides,Accepted,Nymphoides indica,Nymphoides indica (L.) Kuntze,Nymphoides_indica,Nymphoides_indica,Angiosperms
Ocimum americanum,Ocimum,Lamiaceae,,,yes,yes,Ocimum americanum L.,Ocimum americanum,L.,Lamiaceae,Ocimum,Lamiaceae,Ocimum,Accepted,Ocimum americanum,Ocimum americanum L.,Ocimum_americanum,Ocimum_americanum,Angiosperms
Oldenlandia corymbosa,Oldenlandia,Rubiaceae,,,yes,yes,Oldenlandia corymbosa L.,Oldenlandia corymbosa,L.,Rubiaceae,Oldenlandia,Rubiaceae,Oldenlandia,Accepted,Oldenlandia corymbosa,Oldenlandia corymbosa L.,Oldenlandia_corymbosa,Oldenlandia_corymbosa,Angiosperms
Oxalis barrelieri,Oxalis,Oxalidaceae,,,yes,yes,Oxalis barrelieri L.,Oxalis barrelieri,L.,Oxalidaceae,Oxalis,Oxalidaceae,Oxalis,Accepted,Oxalis barrelieri,Oxalis barrelieri L.,Oxalis_barrelieri,Oxalis_barrelieri,Angiosperms
Parkinsonia aculeata,Parkinsonia,Fabaceae,,,yes,yes,Parkinsonia aculeata L.,Parkinsonia aculeata,L.,Fabaceae,Parkinsonia,Leguminosae,Parkinsonia,Accepted,Parkinsonia aculeata,Parkinsonia aculeata L.,Parkinsonia_aculeata,Parkinsonia_aculeata,Angiosperms
