species,genus,family,species.relative,genus.relative,avail.country.status,avail.country.status.SRgreaterthan1,rgbif.details_scientificName02,rgbif.details_canonicalName,rgbif.details_authorship,rgbif.details_family,rgbif.details_genus,TPL_family,TPL_genus,TPL_status,TPL_names,TPL_names.withAuthors,TPL_tip.label,rgbif.tip.label,class
Spermacoce remota,Spermacoce,Rubiaceae,,,yes,yes,Spermacoce remota Lam.,Spermacoce remota,Lam.,Rubiaceae,Spermacoce,Rubiaceae,Spermacoce,Accepted,Spermacoce remota,Spermacoce remota Lam.,Spermacoce_remota,Spermacoce_remota,Angiosperms
Sphagneticola trilobata,Sphagneticola,Asteraceae,,,yes,yes,Sphagneticola trilobata (L.) Pruski,Sphagneticola trilobata,(L.) Pruski,Asteraceae,Sphagneticola,Compositae,Sphagneticola,Accepted,Sphagneticola trilobata,Sphagneticola trilobata (L.) Pruski,Sphagneticola_trilobata,Sphagneticola_trilobata,Angiosperms
Sporobolus alterniflorus,Sporobolus,Poaceae,,,yes,yes,Sporobolus alterniflorus (Loisel.) P.M.Peterson & Saarela,Sporobolus alterniflorus,(Loisel.) P.M.Peterson & Saarela,Poaceae,Sporobolus,NA,NA,NA,Sporobolus alterniflorus,Sporobolus alterniflorus,Sporobolus_alterniflorus,Sporobolus_alterniflorus,Angiosperms
Sporobolus anglicus,Sporobolus,Poaceae,,,yes,yes,Sporobolus anglicus (C.E.Hubb.) P.M.Peterson & Saarela,Sporobolus anglicus,(C.E.Hubb.) P.M.Peterson & Saarela,Poaceae,Sporobolus,NA,NA,NA,Sporobolus anglicus,Sporobolus anglicus,Sporobolus_anglicus,Sporobolus_anglicus,Angiosperms
Stachytarpheta jamaicensis,Stachytarpheta,Verbenaceae,,,yes,yes,Stachytarpheta jamaicensis (L.) Vahl,Stachytarpheta jamaicensis,(L.) Vahl,Verbenaceae,Stachytarpheta,Verbenaceae,Stachytarpheta,Accepted,Stachytarpheta jamaicensis,Stachytarpheta jamaicensis (L.) Vahl,Stachytarpheta_jamaicensis,Stachytarpheta_jamaicensis,Angiosperms
Stachytarpheta urticifolia,Stachytarpheta,Verbenaceae,,,yes,yes,Stachytarpheta urticifolia Sims,Stachytarpheta urticifolia,Sims,Verbenaceae,Stachytarpheta,Verbenaceae,Stachytarpheta,Accepted,Stachytarpheta urticifolia,Stachytarpheta urticifolia (Salisb.) Sims,Stachytarpheta_urticifolia,Stachytarpheta_urticifolia,Angiosperms
Stemodia verticillata,Stemodia,Plantaginaceae,,,yes,yes,Stemodia verticillata (Mill.) Hassl.,Stemodia verticillata,(Mill.) Hassl.,Plantaginaceae,Stemodia,Plantaginaceae,Stemodia,Accepted,Stemodia verticillata,Stemodia verticillata (Mill.) Hassl.,Stemodia_verticillata,Stemodia_verticillata,Angiosperms
Symphyotrichum parviflorum,Symphyotrichum,Asteraceae,,,yes,yes,Symphyotrichum parviflorum (Nees) Greuter,Symphyotrichum parviflorum,(Nees) Greuter,Asteraceae,Symphyotrichum,Compositae,Symphyotrichum,Accepted,Symphyotrichum parviflorum,Symphyotrichum parviflorum (Nees) Greuter,Symphyotrichum_parviflorum,Symphyotrichum_parviflorum,Angiosperms
Synedrella nodiflora,Synedrella,Asteraceae,,,yes,yes,Synedrella nodiflora (L.) Gaertn.,Synedrella nodiflora,(L.) Gaertn.,Asteraceae,Synedrella,Compositae,Synedrella,Accepted,Synedrella nodiflora,Synedrella nodiflora (L.) Gaertn.,Synedrella_nodiflora,Synedrella_nodiflora,Angiosperms
Tagetes minuta,Tagetes,Asteraceae,,,yes,yes,Tagetes minuta L.,Tagetes minuta,L.,Asteraceae,Tagetes,Compositae,Tagetes,Accepted,Tagetes minuta,Tagetes minuta L.,Tagetes_minuta,Tagetes_minuta,Angiosperms
Talinum paniculatum,Talinum,Talinaceae,,,yes,yes,Talinum paniculatum (Jacq.) Gaertn.,Talinum paniculatum,(Jacq.) Gaertn.,Talinaceae,Talinum,Talinaceae,Talinum,Accepted,Talinum paniculatum,Talinum paniculatum (Jacq.) Gaertn.,Talinum_paniculatum,Talinum_paniculatum,Angiosperms
Taraxacum officinale,Taraxacum,Asteraceae,Taraxacum campylodes,,yes,yes,Taraxacum officinale Weber ex Wiggins,Taraxacum officinale,Weber ex Wiggins,Asteraceae,Taraxacum,Compositae,Taraxacum,Accepted,Taraxacum campylodes,Taraxacum campylodes G.E.Haglund,Taraxacum_campylodes,Taraxacum_officinale,Angiosperms
Tithonia rotundifolia,Tithonia,Asteraceae,,,yes,yes,Tithonia rotundifolia (Mill.) S.F.Blake,Tithonia rotundifolia,(Mill.) S.F.Blake,Asteraceae,Tithonia,Compositae,Tithonia,Accepted,Tithonia rotundifolia,Tithonia rotundifolia (Mill.) S.F.Blake,Tithonia_rotundifolia,Tithonia_rotundifolia,Angiosperms
Tragopogon dubius,Tragopogon,Asteraceae,,,yes,yes,Tragopogon dubius Scop.,Tragopogon dubius,Scop.,Asteraceae,Tragopogon,Compositae,Tragopogon,Accepted,Tragopogon dubius,Tragopogon dubius Scop.,Tragopogon_dubius,Tragopogon_dubius,Angiosperms
Tridax procumbens,Tridax,Asteraceae,,,yes,yes,Tridax procumbens L.,Tridax procumbens,L.,Asteraceae,Tridax,Compositae,Tridax,Accepted,Tridax procumbens,Tridax procumbens (L.) L.,Tridax_procumbens,Tridax_procumbens,Angiosperms
Trifolium pratense,Trifolium,Fabaceae,,,yes,yes,Trifolium pratense L.,Trifolium pratense,L.,Fabaceae,Trifolium,Leguminosae,Trifolium,Accepted,Trifolium pratense,Trifolium pratense L.,Trifolium_pratense,Trifolium_pratense,Angiosperms
Urochloa brizantha,Urochloa,Poaceae,Brachiaria brizantha,Brachiaria,yes,yes,Urochloa brizantha (A.Rich.) R.D.Webster,Urochloa brizantha,(A.Rich.) R.D.Webster,Poaceae,Urochloa,Poaceae,Brachiaria,Accepted,Brachiaria brizantha,Brachiaria brizantha (A.Rich.) Stapf,Brachiaria_brizantha,Urochloa_brizantha,Angiosperms
Vachellia farnesiana,Vachellia,Fabaceae,Acacia farnesiana,Acacia,yes,yes,Vachellia farnesiana (L.) Wight & Arn.,Vachellia farnesiana,(L.) Wight & Arn.,Fabaceae,Vachellia,Leguminosae,Acacia,Accepted,Acacia farnesiana,Acacia farnesiana (L.) Willd.,Acacia_farnesiana,Vachellia_farnesiana,Angiosperms
Veronica arvensis,Veronica,Plantaginaceae,,,yes,yes,Veronica arvensis L.,Veronica arvensis,L.,Plantaginaceae,Veronica,Plantaginaceae,Veronica,Accepted,Veronica arvensis,Veronica arvensis L.,Veronica_arvensis,Veronica_arvensis,Angiosperms
Veronica hederifolia,Veronica,Plantaginaceae,,,yes,yes,Veronica hederifolia L.,Veronica hederifolia,L.,Plantaginaceae,Veronica,Plantaginaceae,Veronica,Accepted,Veronica hederifolia,Veronica hederifolia L.,Veronica_hederifolia,Veronica_hederifolia,Angiosperms
Veronica peregrina,Veronica,Plantaginaceae,,,yes,yes,Veronica peregrina L.,Veronica peregrina,L.,Plantaginaceae,Veronica,Plantaginaceae,Veronica,Accepted,Veronica peregrina,Veronica peregrina L.,Veronica_peregrina,Veronica_peregrina,Angiosperms
Veronica persica,Veronica,Plantaginaceae,,,yes,yes,Veronica persica Poir.,Veronica persica,Poir.,Plantaginaceae,Veronica,Plantaginaceae,Veronica,Accepted,Veronica persica,Veronica persica Poir.,Veronica_persica,Veronica_persica,Angiosperms
Veronica polita,Veronica,Plantaginaceae,,,yes,yes,Veronica polita Fr.,Veronica polita,Fr.,Plantaginaceae,Veronica,Plantaginaceae,Veronica,Accepted,Veronica polita,Veronica polita Fr.,Veronica_polita,Veronica_polita,Angiosperms
Vicia villosa,Vicia,Fabaceae,,,yes,yes,Vicia villosa Roth,Vicia villosa,Roth,Fabaceae,Vicia,Leguminosae,Vicia,Accepted,Vicia villosa,Vicia villosa Roth,Vicia_villosa,Vicia_villosa,Angiosperms
Voacanga africana,Voacanga,Apocynaceae,,,yes,yes,Voacanga africana Stapf ex Scott Elliot,Voacanga africana,Stapf ex Scott Elliot,Apocynaceae,Voacanga,Apocynaceae,Voacanga,Accepted,Voacanga africana,Voacanga africana Stapf ex Scott-Elliot,Voacanga_africana,Voacanga_africana,Angiosperms
Waltheria indica,Waltheria,Malvaceae,,,yes,yes,Waltheria indica L.,Waltheria indica,L.,Malvaceae,Waltheria,Malvaceae,Waltheria,Accepted,Waltheria indica,Waltheria indica L.,Waltheria_indica,Waltheria_indica,Angiosperms
Xanthium chinense,Xanthium,Asteraceae,Xanthium strumarium,,yes,yes,Xanthium chinense Mill.,Xanthium chinense,Mill.,Asteraceae,Xanthium,Compositae,Xanthium,Accepted,Xanthium strumarium,Xanthium strumarium L.,Xanthium_strumarium,Xanthium_chinense,Angiosperms
Xanthium orientale,Xanthium,Asteraceae,,,yes,yes,Xanthium orientale L.,Xanthium orientale,L.,Asteraceae,Xanthium,Compositae,Xanthium,Accepted,Xanthium orientale,Xanthium orientale L.,Xanthium_orientale,Xanthium_orientale,Angiosperms
Xanthium spinosum,Xanthium,Asteraceae,,,yes,yes,Xanthium spinosum L.,Xanthium spinosum,L.,Asteraceae,Xanthium,Compositae,Xanthium,Accepted,Xanthium spinosum,Xanthium spinosum L.,Xanthium_spinosum,Xanthium_spinosum,Angiosperms
Zephyranthes carinata,Zephyranthes,Amaryllidaceae,,,yes,yes,Zephyranthes carinata Herb.,Zephyranthes carinata,Herb.,Amaryllidaceae,Zephyranthes,Amaryllidaceae,Zephyranthes,Accepted,Zephyranthes carinata,Zephyranthes carinata Herb.,Zephyranthes_carinata,Zephyranthes_carinata,Angiosperms
Zinnia peruviana,Zinnia,Asteraceae,,,yes,yes,Zinnia peruviana (L.) L.,Zinnia peruviana,(L.) L.,Asteraceae,Zinnia,Compositae,Zinnia,Accepted,Zinnia peruviana,Zinnia peruviana (L.) L.,Zinnia_peruviana,Zinnia_peruviana,Angiosperms
Acacia saligna,Acacia,Fabaceae,,,yes,yes,Acacia saligna (Labill.) H.L.Wendl.,Acacia saligna,(Labill.) H.L.Wendl.,Fabaceae,Acacia,Leguminosae,Acacia,Unresolved,Acacia saligna,Acacia saligna (Labill.) H.L. Wendl.,Acacia_saligna,Acacia_saligna,Angiosperms
Arundo donax,Arundo,Poaceae,,,yes,yes,Arundo donax L.,Arundo donax,L.,Poaceae,Arundo,Poaceae,Arundo,Accepted,Arundo donax,Arundo donax L.,Arundo_donax,Arundo_donax,Angiosperms
Carpobrotus edulis,Carpobrotus,Aizoaceae,,,yes,yes,Carpobrotus edulis (L.) N.E.Br.,Carpobrotus edulis,(L.) N.E.Br.,Aizoaceae,Carpobrotus,Aizoaceae,Carpobrotus,Accepted,Carpobrotus edulis,Carpobrotus edulis (L.) N.E.Br.,Carpobrotus_edulis,Carpobrotus_edulis,Angiosperms
Casuarina cunninghamiana,Casuarina,Casuarinaceae,,,yes,yes,Casuarina cunninghamiana Miq.,Casuarina cunninghamiana,Miq.,Casuarinaceae,Casuarina,Casuarinaceae,Casuarina,Accepted,Casuarina cunninghamiana,Casuarina cunninghamiana Miq.,Casuarina_cunninghamiana,Casuarina_cunninghamiana,Angiosperms
Dodonaea viscosa,Dodonaea,Sapindaceae,,,yes,yes,Dodonaea viscosa (L.) Jacq.,Dodonaea viscosa,(L.) Jacq.,Sapindaceae,Dodonaea,Sapindaceae,Dodonaea,Accepted,Dodonaea viscosa,Dodonaea viscosa (L.) Jacq.,Dodonaea_viscosa,Dodonaea_viscosa,Angiosperms
Eucalyptus gomphocephala,Eucalyptus,Myrtaceae,,,yes,yes,Eucalyptus gomphocephala A.Cunn. ex DC.,Eucalyptus gomphocephala,A.Cunn. ex DC.,Myrtaceae,Eucalyptus,Myrtaceae,Eucalyptus,Accepted,Eucalyptus gomphocephala,Eucalyptus gomphocephala A.Cunn. ex DC.,Eucalyptus_gomphocephala,Eucalyptus_gomphocephala,Angiosperms
Euphorbia nutans,Euphorbia,Euphorbiaceae,,,yes,yes,Euphorbia nutans Lag.,Euphorbia nutans,Lag.,Euphorbiaceae,Euphorbia,Euphorbiaceae,Euphorbia,Accepted,Euphorbia nutans,Euphorbia nutans Lag.,Euphorbia_nutans,Euphorbia_nutans,Angiosperms
Halophila stipulacea,Halophila,Hydrocharitaceae,,,yes,yes,Halophila stipulacea (Forssk.) Asch.,Halophila stipulacea,(Forssk.) Asch.,Hydrocharitaceae,Halophila,Hydrocharitaceae,Halophila,Accepted,Halophila stipulacea,Halophila stipulacea (Forssk.) Asch.,Halophila_stipulacea,Halophila_stipulacea,Angiosperms
Lycium ferocissimum,Lycium,Solanaceae,,,yes,yes,Lycium ferocissimum Miers,Lycium ferocissimum,Miers,Solanaceae,Lycium,Solanaceae,Lycium,Accepted,Lycium ferocissimum,Lycium ferocissimum Miers,Lycium_ferocissimum,Lycium_ferocissimum,Angiosperms
Mesembryanthemum cordifolium,Mesembryanthemum,Aizoaceae,,,yes,yes,Mesembryanthemum cordifolium L.fil.,Mesembryanthemum cordifolium,L.fil.,Aizoaceae,Mesembryanthemum,Aizoaceae,Mesembryanthemum,Accepted,Mesembryanthemum cordifolium,Mesembryanthemum cordifolium L.f.,Mesembryanthemum_cordifolium,Mesembryanthemum_cordifolium,Angiosperms
Nicotiana glauca,Nicotiana,Solanaceae,,,yes,yes,Nicotiana glauca Graham,Nicotiana glauca,Graham,Solanaceae,Nicotiana,Solanaceae,Nicotiana,Accepted,Nicotiana glauca,Nicotiana glauca Graham,Nicotiana_glauca,Nicotiana_glauca,Angiosperms
Oxalis pes-caprae,Oxalis,Oxalidaceae,,,yes,yes,Oxalis pes-caprae L.,Oxalis pes-caprae,L.,Oxalidaceae,Oxalis,Oxalidaceae,Oxalis,Accepted,Oxalis pes-caprae,Oxalis pes-caprae L.,Oxalis_pes-caprae,Oxalis_pes-caprae,Angiosperms
Pinus halepensis,Pinus,Pinaceae,,,yes,yes,Pinus halepensis Mill.,Pinus halepensis,Mill.,Pinaceae,Pinus,Pinaceae,Pinus,Accepted,Pinus halepensis,Pinus halepensis Mill.,Pinus_halepensis,Pinus_halepensis,Gymnosperms
Symphyotrichum squamatum,Symphyotrichum,Asteraceae,,,yes,yes,Symphyotrichum squamatum (Spreng.) G.L.Nesom,Symphyotrichum squamatum,(Spreng.) G.L.Nesom,Asteraceae,Symphyotrichum,Compositae,Symphyotrichum,Accepted,Symphyotrichum squamatum,Symphyotrichum squamatum (Spreng.) G.L.Nesom,Symphyotrichum_squamatum,Symphyotrichum_squamatum,Angiosperms
Washingtonia filifera,Washingtonia,Arecaceae,,,yes,yes,Washingtonia filifera (Rafarin) H.Wendl. ex de Bary,Washingtonia filifera,(Rafarin) H.Wendl. ex de Bary,Arecaceae,Washingtonia,Arecaceae,Washingtonia,Accepted,Washingtonia filifera,Washingtonia filifera (Linden ex André) H.Wendl. ex de Bary,Washingtonia_filifera,Washingtonia_filifera,Angiosperms
Brucea javanica,Brucea,Simaroubaceae,,,yes,yes,Brucea javanica (L.) Merr.,Brucea javanica,(L.) Merr.,Simaroubaceae,Brucea,Simaroubaceae,Brucea,Accepted,Brucea javanica,Brucea javanica (L.) Merr.,Brucea_javanica,Brucea_javanica,Angiosperms
Clerodendrum bungei,Clerodendrum,Lamiaceae,,,yes,yes,Clerodendrum bungei Steud.,Clerodendrum bungei,Steud.,Lamiaceae,Clerodendrum,Lamiaceae,Clerodendrum,Accepted,Clerodendrum bungei,Clerodendrum bungei Steud.,Clerodendrum_bungei,Clerodendrum_bungei,Angiosperms
Miscanthus sinensis,Miscanthus,Poaceae,,,yes,yes,Miscanthus sinensis Andersson,Miscanthus sinensis,Andersson,Poaceae,Miscanthus,Poaceae,Miscanthus,Accepted,Miscanthus sinensis,Miscanthus sinensis Andersson,Miscanthus_sinensis,Miscanthus_sinensis,Angiosperms
Opuntia humifusa,Opuntia,Cactaceae,,,yes,yes,Opuntia humifusa (Raf.) Raf.,Opuntia humifusa,(Raf.) Raf.,Cactaceae,Opuntia,Cactaceae,Opuntia,Accepted,Opuntia humifusa,Opuntia humifusa (Raf.) Raf.,Opuntia_humifusa,Opuntia_humifusa,Angiosperms
Opuntia phaeacantha,Opuntia,Cactaceae,,,yes,yes,Opuntia phaeacantha Engelm.,Opuntia phaeacantha,Engelm.,Cactaceae,Opuntia,Cactaceae,Opuntia,Accepted,Opuntia phaeacantha,Opuntia phaeacantha Engelm.,Opuntia_phaeacantha,Opuntia_phaeacantha,Angiosperms
Perilla frutescens,Perilla,Lamiaceae,,,yes,yes,Perilla frutescens (L.) Britton,Perilla frutescens,(L.) Britton,Lamiaceae,Perilla,Lamiaceae,Perilla,Accepted,Perilla frutescens,Perilla frutescens (L.) Britton,Perilla_frutescens,Perilla_frutescens,Angiosperms
Pleioblastus argenteostriatus,Pleioblastus,Poaceae,,,yes,yes,Pleioblastus argenteostriatus (Regel) Nakai,Pleioblastus argenteostriatus,(Regel) Nakai,Poaceae,Pleioblastus,Poaceae,Pleioblastus,Accepted,Pleioblastus argenteostriatus,Pleioblastus argenteostriatus (Regel) Nakai,Pleioblastus_argenteostriatus,Pleioblastus_argenteostriatus,Angiosperms
Pleioblastus distichus,Pleioblastus,Poaceae,Pseudosasa disticha,Pseudosasa,yes,yes,Pleioblastus distichus (Mitford) Nakai,Pleioblastus distichus,(Mitford) Nakai,Poaceae,Pleioblastus,Poaceae,Pseudosasa,Accepted,Pseudosasa disticha,Pseudosasa disticha (Mitford) Nakai,Pseudosasa_disticha,Pleioblastus_distichus,Angiosperms
Pseudosasa humilis,Pseudosasa,Poaceae,,,yes,yes,Pseudosasa humilis (Mitford) T.Q.Nguyen,Pseudosasa humilis,(Mitford) T.Q.Nguyen,Poaceae,Pseudosasa,Poaceae,Pseudosasa,Accepted,Pseudosasa humilis,Pseudosasa humilis (Mitford) T.Q.Nguyen,Pseudosasa_humilis,Pseudosasa_humilis,Angiosperms
Spiraea japonica,Spiraea,Rosaceae,,,yes,yes,Spiraea japonica L.fil.,Spiraea japonica,L.fil.,Rosaceae,Spiraea,Rosaceae,Spiraea,Accepted,Spiraea japonica,Spiraea japonica L.f.,Spiraea_japonica,Spiraea_japonica,Angiosperms
Verbena brasiliensis,Verbena,Verbenaceae,,,yes,yes,Verbena brasiliensis Vell.,Verbena brasiliensis,Vell.,Verbenaceae,Verbena,Verbenaceae,Verbena,Accepted,Verbena brasiliensis,Verbena brasiliensis Vell.,Verbena_brasiliensis,Verbena_brasiliensis,Angiosperms
Vitex trifolia,Vitex,Lamiaceae,,,yes,yes,Vitex trifolia L.,Vitex trifolia,L.,Lamiaceae,Vitex,Lamiaceae,Vitex,Accepted,Vitex trifolia,Vitex trifolia L.,Vitex_trifolia,Vitex_trifolia,Angiosperms
Acacia dealbata,Acacia,Fabaceae,,,yes,yes,Acacia dealbata Link,Acacia dealbata,Link,Fabaceae,Acacia,Leguminosae,Acacia,Accepted,Acacia dealbata,Acacia dealbata Link,Acacia_dealbata,Acacia_dealbata,Angiosperms
Acacia mearnsii,Acacia,Fabaceae,,,yes,yes,Acacia mearnsii De Wild.,Acacia mearnsii,De Wild.,Fabaceae,Acacia,Leguminosae,Acacia,Accepted,Acacia mearnsii,Acacia mearnsii De Wild.,Acacia_mearnsii,Acacia_mearnsii,Angiosperms
Acacia melanoxylon,Acacia,Fabaceae,,,yes,yes,Acacia melanoxylon R.Br.,Acacia melanoxylon,R.Br.,Fabaceae,Acacia,Leguminosae,Acacia,Accepted,Acacia melanoxylon,Acacia melanoxylon R.Br.,Acacia_melanoxylon,Acacia_melanoxylon,Angiosperms
Acalypha ciliata,Acalypha,Euphorbiaceae,,,yes,yes,Acalypha ciliata Forssk.,Acalypha ciliata,Forssk.,Euphorbiaceae,Acalypha,Euphorbiaceae,Acalypha,Accepted,Acalypha ciliata,Acalypha ciliata Forssk.,Acalypha_ciliata,Acalypha_ciliata,Angiosperms
Aerva javanica,Aerva,Amaranthaceae,,,yes,yes,Aerva javanica (Burm.fil.) Juss.,Aerva javanica,(Burm.fil.) Juss.,Amaranthaceae,Aerva,Amaranthaceae,Aerva,Accepted,Aerva javanica,Aerva javanica (Burm.f.) Juss. ex Schult.,Aerva_javanica,Aerva_javanica,Angiosperms
Ageratina riparia,Ageratina,Asteraceae,,,yes,yes,Ageratina riparia (Regel) R.King & H.Rob.,Ageratina riparia,(Regel) R.King & H.Rob.,Asteraceae,Ageratina,Compositae,Ageratina,Accepted,Ageratina riparia,Ageratina riparia (Regel) R.M.King & H.Rob.,Ageratina_riparia,Ageratina_riparia,Angiosperms
Alternanthera brasiliana,Alternanthera,Amaranthaceae,,,yes,yes,Alternanthera brasiliana (L.) Kuntze,Alternanthera brasiliana,(L.) Kuntze,Amaranthaceae,Alternanthera,Amaranthaceae,Alternanthera,Accepted,Alternanthera brasiliana,Alternanthera brasiliana (L.) Kuntze,Alternanthera_brasiliana,Alternanthera_brasiliana,Angiosperms
Alternanthera paronychioides,Alternanthera,Amaranthaceae,,,yes,yes,Alternanthera paronychioides A.St.-Hil.,Alternanthera paronychioides,A.St.-Hil.,Amaranthaceae,Alternanthera,Amaranthaceae,Alternanthera,Accepted,Alternanthera paronychioides,Alternanthera paronychioides A.St.-Hil.,Alternanthera_paronychioides,Alternanthera_paronychioides,Angiosperms
Alternanthera spinosa,Alternanthera,Amaranthaceae,,,yes,yes,Alternanthera spinosa (Hornem.) Roem. & Schult.,Alternanthera spinosa,(Hornem.) Roem. & Schult.,Amaranthaceae,Alternanthera,Amaranthaceae,Alternanthera,Accepted,Alternanthera spinosa,Alternanthera spinosa (Hornem.) Schult.,Alternanthera_spinosa,Alternanthera_spinosa,Angiosperms
Annona glabra,Annona,Annonaceae,,,yes,yes,Annona glabra L.,Annona glabra,L.,Annonaceae,Annona,Annonaceae,Annona,Accepted,Annona glabra,Annona glabra L.,Annona_glabra,Annona_glabra,Angiosperms
Anthemis cotula,Anthemis,Asteraceae,,,yes,yes,Anthemis cotula L.,Anthemis cotula,L.,Asteraceae,Anthemis,Compositae,Anthemis,Accepted,Anthemis cotula,Anthemis cotula L.,Anthemis_cotula,Anthemis_cotula,Angiosperms
Antigonon leptopus,Antigonon,Polygonaceae,,,yes,yes,Antigonon leptopus Hook. & Arn.,Antigonon leptopus,Hook. & Arn.,Polygonaceae,Antigonon,Polygonaceae,Antigonon,Accepted,Antigonon leptopus,Antigonon leptopus Hook. & Arn.,Antigonon_leptopus,Antigonon_leptopus,Angiosperms
Argemone ochroleuca,Argemone,Papaveraceae,,,yes,yes,Argemone ochroleuca Sweet,Argemone ochroleuca,Sweet,Papaveraceae,Argemone,Papaveraceae,Argemone,Accepted,Argemone ochroleuca,Argemone ochroleuca Sweet,Argemone_ochroleuca,Argemone_ochroleuca,Angiosperms
Aristea ecklonii,Aristea,Iridaceae,,,yes,yes,Aristea ecklonii Baker,Aristea ecklonii,Baker,Iridaceae,Aristea,Iridaceae,Aristea,Accepted,Aristea ecklonii,Aristea ecklonii Baker,Aristea_ecklonii,Aristea_ecklonii,Angiosperms
Arivela viscosa,Arivela,Cleomaceae,Cleome viscosa,Cleome,yes,yes,Arivela viscosa (L.) Raf.,Arivela viscosa,(L.) Raf.,Cleomaceae,Arivela,Cleomaceae,Cleome,Accepted,Cleome viscosa,Cleome viscosa L.,Cleome_viscosa,Arivela_viscosa,Angiosperms
Axonopus compressus,Axonopus,Poaceae,,,yes,yes,Axonopus compressus (Sw.) P.Beauv.,Axonopus compressus,(Sw.) P.Beauv.,Poaceae,Axonopus,Poaceae,Axonopus,Accepted,Axonopus compressus,Axonopus compressus (Sw.) P.Beauv.,Axonopus_compressus,Axonopus_compressus,Angiosperms
Bidens biternata,Bidens,Asteraceae,,,yes,yes,Bidens biternata (Lour.) Merr. & Sherff,Bidens biternata,(Lour.) Merr. & Sherff,Asteraceae,Bidens,Compositae,Bidens,Accepted,Bidens biternata,Bidens biternata (Lour.) Merr. & Sherff,Bidens_biternata,Bidens_biternata,Angiosperms
Blainvillea acmella,Blainvillea,Asteraceae,,,yes,yes,Blainvillea acmella (L.) Philipson,Blainvillea acmella,(L.) Philipson,Asteraceae,Blainvillea,Compositae,Blainvillea,Accepted,Blainvillea acmella,Blainvillea acmella (L.) Philipson,Blainvillea_acmella,Blainvillea_acmella,Angiosperms
Blumea obliqua,Blumea,Asteraceae,,,yes,yes,Blumea obliqua (L.) Druce,Blumea obliqua,(L.) Druce,Asteraceae,Blumea,Compositae,Blumea,Accepted,Blumea obliqua,Blumea obliqua (L.) Druce,Blumea_obliqua,Blumea_obliqua,Angiosperms
Boerhavia erecta,Boerhavia,Nyctaginaceae,,,yes,yes,Boerhavia erecta L.,Boerhavia erecta,L.,Nyctaginaceae,Boerhavia,Nyctaginaceae,Boerhavia,Accepted,Boerhavia erecta,Boerhavia erecta L.,Boerhavia_erecta,Boerhavia_erecta,Angiosperms
Bromus inermis,Bromus,Poaceae,,,yes,yes,Bromus inermis Leyss.,Bromus inermis,Leyss.,Poaceae,Bromus,Poaceae,Bromus,Accepted,Bromus inermis,Bromus inermis Leyss.,Bromus_inermis,Bromus_inermis,Angiosperms
Broussonetia papyrifera,Broussonetia,Moraceae,,,yes,yes,Broussonetia papyrifera (L.) Vent.,Broussonetia papyrifera,(L.) Vent.,Moraceae,Broussonetia,Moraceae,Broussonetia,Accepted,Broussonetia papyrifera,Broussonetia papyrifera (L.) L'Hér. ex Vent.,Broussonetia_papyrifera,Broussonetia_papyrifera,Angiosperms
Brugmansia suaveolens,Brugmansia,Solanaceae,,,yes,yes,Brugmansia suaveolens (Humb. & Bonpl. ex Willd.) Bercht. & J.Presl,Brugmansia suaveolens,(Humb. & Bonpl. ex Willd.) Bercht. & J.Presl,Solanaceae,Brugmansia,Solanaceae,Brugmansia,Accepted,Brugmansia suaveolens,Brugmansia suaveolens (Humb. & Bonpl. ex Willd.) Bercht. & J.Presl,Brugmansia_suaveolens,Brugmansia_suaveolens,Angiosperms
Buddleja davidii,Buddleja,Scrophulariaceae,,,yes,yes,Buddleja davidii Franch.,Buddleja davidii,Franch.,Scrophulariaceae,Buddleja,Scrophulariaceae,Buddleja,Accepted,Buddleja davidii,Buddleja davidii Franch.,Buddleja_davidii,Buddleja_davidii,Angiosperms
Caladium bicolor,Caladium,Araceae,,,yes,yes,Caladium bicolor (Aiton) Vent.,Caladium bicolor,(Aiton) Vent.,Araceae,Caladium,Araceae,Caladium,Accepted,Caladium bicolor,Caladium bicolor (Aiton) Vent.,Caladium_bicolor,Caladium_bicolor,Angiosperms
Calceolaria mexicana,Calceolaria,Calceolariaceae,,,yes,yes,Calceolaria mexicana Benth.,Calceolaria mexicana,Benth.,Calceolariaceae,Calceolaria,Calceolariaceae,Calceolaria,Accepted,Calceolaria mexicana,Calceolaria mexicana Benth.,Calceolaria_mexicana,Calceolaria_mexicana,Angiosperms
Cardamine hirsuta,Cardamine,Brassicaceae,,,yes,yes,Cardamine hirsuta L.,Cardamine hirsuta,L.,Brassicaceae,Cardamine,Brassicaceae,Cardamine,Accepted,Cardamine hirsuta,Cardamine hirsuta L.,Cardamine_hirsuta,Cardamine_hirsuta,Angiosperms
Cardamine trichocarpa,Cardamine,Brassicaceae,,,yes,yes,Cardamine trichocarpa Hochst. ex A.Rich.,Cardamine trichocarpa,Hochst. ex A.Rich.,Brassicaceae,Cardamine,Brassicaceae,Cardamine,Accepted,Cardamine trichocarpa,Cardamine trichocarpa Hochst. ex A.Rich.,Cardamine_trichocarpa,Cardamine_trichocarpa,Angiosperms
Carduus nutans,Carduus,Asteraceae,,,yes,yes,Carduus nutans L.,Carduus nutans,L.,Asteraceae,Carduus,Compositae,Carduus,Accepted,Carduus nutans,Carduus nutans L.,Carduus_nutans,Carduus_nutans,Angiosperms
