name_corrected,alpha_3,region,sub_region,rgbif.details_scientificName02,rgbif.details_canonicalName,rgbif.details_authorship,rgbif.details_family,rgbif.details_genus,TPL_family,TPL_genus,TPL_status,TPL_names,TPL_names.withAuthors,TPL_tip.label,rgbif.tip.label,rgbif.details_speciesKey,isInvasive,GRIIS.scientificName,GRIIS.reportedTaxon,GRIIS.reportedTaxon_rgbif_corrected,GRIIS.habitats,GRIIS.recordIDs
Bangladesh,BGD,Asia,Southern Asia,Croton bonplandianus Baill.,Croton bonplandianus,Baill.,Euphorbiaceae,Croton,Euphorbiaceae,Croton,Accepted,Croton bonplandianus,Croton bonplandianus Baill.,Croton_bonplandianus,Croton_bonplandianus,3058543,INVASIVE,Croton bonplandianus Baill.,Croton bonplandianus Baill.,Croton bonplandianus Baill.,TERRESTRIAL,29232
Bangladesh,BGD,Asia,Southern Asia,Derris trifoliata Lour.,Derris trifoliata,Lour.,Fabaceae,Derris,Leguminosae,Derris,Accepted,Derris trifoliata,Derris trifoliata Lour.,Derris_trifoliata,Derris_trifoliata,5350336,INVASIVE,Derris trifoliata Lour.,Derris trifoliata Lour.,Derris trifoliata Lour.,TERRESTRIAL,33003
Bangladesh,BGD,Asia,Southern Asia,Duranta erecta L.,Duranta erecta,L.,Verbenaceae,Duranta,Verbenaceae,Duranta,Accepted,Duranta erecta,Duranta erecta L.,Duranta_erecta,Duranta_erecta,2925655,INVASIVE,Duranta erecta L.,Duranta repens L.,Duranta repens L.,TERRESTRIAL,35336
Bangladesh,BGD,Asia,Southern Asia,Elaeis guineensis Jacq.,Elaeis guineensis,Jacq.,Arecaceae,Elaeis,Arecaceae,Elaeis,Accepted,Elaeis guineensis,Elaeis guineensis Jacq.,Elaeis_guineensis,Elaeis_guineensis,2731882,INVASIVE,Elaeis guineensis Jacq.,Elaeis guineensis Jacq.,Elaeis guineensis Jacq.,TERRESTRIAL,36410
Bangladesh,BGD,Asia,Southern Asia,Imperata cylindrica (L.) P.Beauv.,Imperata cylindrica,(L.) P.Beauv.,Poaceae,Imperata,Poaceae,Imperata,Accepted,Imperata cylindrica,Imperata cylindrica (L.) Raeusch.,Imperata_cylindrica,Imperata_cylindrica,8120010,INVASIVE,Imperata cylindrica P.Beauv.,Imperata cylindrica P.Beauv.,Imperata cylindrica P.Beauv.,TERRESTRIAL,49853
Bangladesh,BGD,Asia,Southern Asia,Ipomoea aquatica Forssk.,Ipomoea aquatica,Forssk.,Convolvulaceae,Ipomoea,Convolvulaceae,Ipomoea,Accepted,Ipomoea aquatica,Ipomoea aquatica Forssk.,Ipomoea_aquatica,Ipomoea_aquatica,2928525,INVASIVE,Ipomoea aquatica Forssk.,Ipomoea aquatica Forssk.,Ipomoea aquatica Forssk.,TERRESTRIAL|FRESHWATER,50121
Bangladesh,BGD,Asia,Southern Asia,Ipomoea carnea Jacq.,Ipomoea carnea,Jacq.,Convolvulaceae,Ipomoea,Convolvulaceae,Ipomoea,Accepted,Ipomoea carnea,Ipomoea carnea Jacq.,Ipomoea_carnea,Ipomoea_carnea,2928590,INVASIVE,Ipomoea carnea Jacq.,Ipomoea carnea Jacq.,Ipomoea carnea Jacq.,TERRESTRIAL,50240
Bangladesh,BGD,Asia,Southern Asia,Lantana camara L.,Lantana camara,L.,Verbenaceae,Lantana,Verbenaceae,Lantana,Accepted,Lantana camara,Lantana camara L.,Lantana_camara,Lantana_camara,2925303,INVASIVE,Lantana camara L.,Lantana camara L.,Lantana camara L.,TERRESTRIAL,52857
Bangladesh,BGD,Asia,Southern Asia,Limnocharis flava (L.) Buchenau,Limnocharis flava,(L.) Buchenau,Alismataceae,Limnocharis,Alismataceae,Limnocharis,Accepted,Limnocharis flava,Limnocharis flava (L.) Buchenau,Limnocharis_flava,Limnocharis_flava,5328736,INVASIVE,Limnocharis flava Buchenau,Limnocharis flava Buchenau,Limnocharis flava Buchenau,TERRESTRIAL|FRESHWATER,55376
Bangladesh,BGD,Asia,Southern Asia,Ludwigia adscendens (L.) Hara,Ludwigia adscendens,(L.) Hara,Onagraceae,Ludwigia,Onagraceae,Ludwigia,Accepted,Ludwigia adscendens,Ludwigia adscendens (L.) H.Hara,Ludwigia_adscendens,Ludwigia_adscendens,7322187,INVASIVE,Ludwigia adscendens (L.) H.Hara,Ludwigia adscendens (L.) H.Hara,Ludwigia adscendens (L.) H.Hara,TERRESTRIAL|FRESHWATER,56899
Bangladesh,BGD,Asia,Southern Asia,Malvastrum coromandelianum (L.) Garcke,Malvastrum coromandelianum,(L.) Garcke,Malvaceae,Malvastrum,Malvaceae,Malvastrum,Accepted,Malvastrum coromandelianum,Malvastrum coromandelianum (L.) Garcke,Malvastrum_coromandelianum,Malvastrum_coromandelianum,3152268,INVASIVE,Malvastrum coromandelianum (L.) Garcke,Malvastrum coromandelianum (L.) Garcke,Malvastrum coromandelianum (L.) Garcke,TERRESTRIAL,58557
Bangladesh,BGD,Asia,Southern Asia,Mikania cordata (Burm.fil.) B.L.Rob.,Mikania cordata,(Burm.fil.) B.L.Rob.,Asteraceae,Mikania,Compositae,Mikania,Accepted,Mikania cordata,Mikania cordata (Burm.f.) B.L.Rob.,Mikania_cordata,Mikania_cordata,5398634,INVASIVE,Mikania cordata B.L.Rob.,Mikania cordata B.L.Rob.,Mikania cordata B.L.Rob.,TERRESTRIAL,61156
Bangladesh,BGD,Asia,Southern Asia,Mikania micrantha Kunth,Mikania micrantha,Kunth,Asteraceae,Mikania,Compositae,Mikania,Accepted,Mikania micrantha,Mikania micrantha Kunth,Mikania_micrantha,Mikania_micrantha,5398421,INVASIVE,Mikania micrantha Kunth,Mikania micrantha Kunth,Mikania micrantha Kunth,TERRESTRIAL,61165
Bangladesh,BGD,Asia,Southern Asia,Mikania scandens (L.) Willd.,Mikania scandens,(L.) Willd.,Asteraceae,Mikania,Compositae,Mikania,Accepted,Mikania scandens,Mikania scandens (L.) Willd.,Mikania_scandens,Mikania_scandens,5398828,INVASIVE,Mikania scandens Willd.,Mikania scandens Willd.,Mikania scandens Willd.,TERRESTRIAL,61200
